;; -*- coding: utf-8 -*--
a-kui-na 阿奎那
bao-zha-zui 爆炸罪
bao-zhang-cuo-shi-tiao-li 保障措施条例
bao-zheng 保证
bao-zheng-bao-xian 保证保险
bao-zheng-he-tong 保证合同
bao-zheng-jin 保证金
bao-zheng-qi-jian 保证期间
bao-zheng-ze-ren-de-bian-geng 保证责任的变更
bao-zhuang-zhuang-huang 包装装潢
bei-bao-xian-ren 被保险人
bei-dai-li-ren-si-wang 被代理人死亡
bei-gao 被告
bei-gao-ren 被告人
bei-hai-ren 被害人
bei-pan-zu-guo-zui 背叛祖国罪
bei-shou-yang-ren 被收养人
bei-shu 背书
bei-shu-bu-lian-xu 背书不连续
bei-shu-zhuan-rang 背书转让
bei-wang-lu 备忘录
bei-yong-xin-yong-zheng 备用信用证
ben-an-zheng-yi 本案争议
ben-an-zhong-de-zhu-zhang 本案中的主张
ben-piao 本票
ben-su 本诉
bi-gong-xin 逼供信
bi-hu 庇护
bi-jian 逼奸
bi-jiao-guang-gao 比较广告
bi-ming 笔名
bi-nan-quan 避难权
bi-peng-cuo-shi 避碰措施
bi-peng-gui-ze 避碰规则
bi-ran-yin-guo-guan-xi 必然因果关系
bi-ren-zi-sha 逼人自杀
bi-xian-bu-de-yi 避险不得已
bi-xian-bu-shi-shi 避险不适时
bi-xian-guo-dang 避险过当
bi-xian-xian-du 避险限度
bi-yao-de-gong-fan 必要的共犯
bi-yao-ji-shu-te-zheng 必要技术特征
bian-geng 变更
bian-geng-chan-quan 变更产权
bian-geng-deng-ji 变更登记
bian-geng-qi-ye-xing-zhi 变更企业性质
bian-hu 辩护
bian-hu-ci 辩护词
bian-hu-quan 辩护权
bian-hu-ren 辩护人
bian-hu-shi 辩护士
bian-hu-zhi-du 辩护制度
bian-hu-zhi-neng 辩护职能
bian-ji-zuo-pin 编辑作品
bian-jian-lin 卞建林
bian-jie-jiu-fen 边界纠纷
bian-lie-fa-ming 变劣发明
bian-lun-zhu-yi 辩论主义
bian-mai 变卖
bian-qin 边沁
bian-wei-hui 编委会
bian-zao 编造
bian-zao-gong-wen-zheng-jian-yin-zhang-zui 变造公文证件印章罪
bian-zao-guo-jia-huo-bi 变造国家货币
biao-di-e 标的额
biao-di-wu 标的物
biao-jian-dai-li 表见代理
biao-shi-de-cuo-wu 表示的错误
biao-shi-xing-wei 表示行为
biao-xian-fan 表现犯
biao-yan-shi-yong-xu-ke-he-tong 表演使用许可合同
biao-yan-zhe-quan 表演者权
bie-chu-quan 别除权
bing-an-guan-xia 并案管辖
bing-gong-zhi-fa 秉公执法
bing-yi-fa 兵役法
bo-deng-hai-mo 博登海默
bo-duo-gong-quan 剥夺公权
bo-duo-xun-zhang-jiang-zhang-he-rong-yu-cheng-hao 剥夺勋章奖章和荣誉称号
bo-duo-zheng-zhi-quan-li 剥夺政治权利
bo-fang 播放
bo-gai-dai 拨改贷
bo-hui 驳回
bo-hui-qi-su 驳回起诉
bo-hui-shen-qing-hui-bi-de-jue-ding 驳回申请回避的决定
bo-la-tu 柏拉图
bo-pu-er 波普尔
bo-si-na 波斯那
bo-si-na 波斯纳
bo-wei-he-tong 泊位合同
bo-ying-quan 播映权
bu-an-kang-bian-quan 不安抗辩权
bu-chang-mao-yi 补偿贸易
bu-chang-sun-shi 补偿损失
bu-cheng-wen-fa 不成文法
bu-chong-jian-ding 补充鉴定
bu-chong-shi-shi-hou-xing-wei 补充是事后行为
bu-chong-xie-yi 补充协议
bu-chun-zheng-du-zhi-zui 不纯正渎职罪
bu-dan 布丹
bu-dang-de-li 不当得利
bu-ding-zhi-bao-xian-he-tong 不定值保险合同
bu-dong-chan 不动产
bu-dong-chan-mai-mai 不动产买卖
bu-fa-qin-hai 不法侵害
bu-fa-xing-wei 不法行为
bu-fa-zhuang-tai 不法状态
bu-fen-bu-neng 部分不能
bu-fen-chao-xi 部分抄袭
bu-fen-lv-xing 部分履行
bu-fen-qin-quan 部分侵权
bu-gao-bu-li 不告不理
bu-gu-zheng-ju-zhen-shi-xing-yu-fou 不顾证据真实性与否
bu-he-chang-li 不合常理
bu-ji-ming-ti-dan 不记名提单
bu-jian-duan-yuan-ze 不间断原则
bu-jiu-cuo-shi 补救措施
bu-kan-nan 布坎南
bu-ke-che-xiao-de-bao-han 不可撤销的保函
bu-ke-che-xiao-de-dan-bao 不可撤销的担保
bu-ke-che-xiao-xin-yong-zheng 不可撤销信用证
bu-ke-che-xiao-xin-yong-zheng 不可撤消信用证
bu-ke-dai-ti-wu 不可代替物
bu-ke-fen-wu 不可分物
bu-ke-fen-zhi-zhai 不可分之债
bu-ke-kang-li 不可抗力
bu-ke-xiao-hao-wu 不可消耗物
bu-lai-ke 布莱克
bu-li-an-jue-ding 不立案决定
bu-lv-xing 不履行
bu-men-fa 部门法
bu-men-guan-xia 部门管辖
bu-men-yue-quan 部门越权
bu-neng 不能
bu-neng-fan 不能犯
bu-neng-fan-wei-sui 不能犯未遂
bu-qi-shi-dai-yu 不歧视待遇
bu-qi-su 不起诉
bu-qi-su-jue-ding-shu 不起诉决定书
bu-que-ding-qi-xian 不确定期限
bu-que-ding-shi-shi 不确定事实
bu-rong-tong-wu 不融通物
bu-shi-dang-lv-xing 不适当履行
bu-shi-hang 不适航
bu-shi-tuo 不适拖
bu-shi-zai 不适载
bu-tong-fa-lv-guan-xi-de-zhu-ti 不同法律关系的主体
bu-tong-zhi-de-xuan-ze-gou-cheng 不同质的选择构成
bu-wan-quan-lv-xing 不完全履行
bu-xiang-fu-he 不相符合
bu-yao-shi-fa-lv-xing-wei 不要式法律行为
bu-yao-shi-he-tong 不要式合同
bu-yao-shi-xing-wei 不要式行为
bu-yu-shou-li 不予受理
bu-zhen-zheng-bu-zuo-wei-fan 不真正不作为犯
bu-zhen-zheng-de-shen-fen-fan 不真正的身份犯
bu-zhen-zheng-lian-dai-zhai-wu 不真正连带债务
bu-zhen-zheng-qin-shou-fan 不真正亲手犯
bu-zhi-qing 不知情
bu-zuo-wei 不作为
bu-zuo-wei-de-jie-guo-fan 不作为的结果犯
bu-zuo-wei-de-zuo-wei-fan 不作为的作为犯
bu-zuo-wei-fan 不作为犯
cai-chan-bao-quan 财产保全
cai-chan-bao-xian 财产保险
cai-chan-cha-feng 财产查封
cai-chan-fa 财产罚
cai-chan-fan-zui 财产犯罪
cai-chan-fen-ge 财产分割
cai-chan-guan-xi 财产关系
cai-chan-quan 财产权
cai-chan-que-quan 财产确权
cai-chan-sun-hai-pei-chang 财产损害赔偿
cai-chan-xing 财产刑
cai-ding 裁定
cai-ding-shu 裁定书
cai-guang-quan 采光权
cai-kuang-quan 采矿权
cai-li 彩礼
cai-pan 裁判
cai-piao 彩票
cai-tuan-di-ya 财团抵押
cai-tuan-fa-ren 财团法人
cai-tuan-zhai-quan 财团债权
cai-wu-guan-li 财务管理
cai-zheng-fa 财政法
can-ji-pei-chang-jin 残疾赔偿金
can-jian-zui-zhuang 参见罪状
cang-chu-bao-guan-he-tong 仓储保管合同
cang-mian-huo-wu-xian 舱面货物险
cang-mian-wu 舱面物
cang-zhi-cang 仓至仓
cao-an 草案
cao-shi-quan 曹诗权
cao-zong-shi-chang 操纵市场
ce-dong-pan-bian-zui 策动叛变罪
ce-dong-pan-luan-zui 策动叛乱罪
ceng-dai-wei 曾代伟
cha-feng 查封
cha-feng-bu-dong-chan 查封不动产
cha-feng-cai-ding 查封裁定
chai-jie-he-tong 拆借合同
chai-qian 拆迁
chai-qian-an-zhi 拆迁安置
chai-qian-bu-chang-xie-yi 拆迁补偿协议
chan-gong-xiao-he-tong 产供销合同
chan-pin-biao-zhi 产品标识
chan-pin-fa-ming 产品发明
chan-pin-kai-fa-jian-yi-shu 产品开发建议书
chan-pin-she-ji-tu 产品设计图
chan-pin-sheng-yu 产品声誉
chan-pin-shui 产品税
chan-pin-xia-ci 产品瑕疵
chan-pin-ze-ren-xian 产品责任险
chan-pin-zhi-liang-biao-zhun 产品质量标准
chan-pin-zhi-liang-fa 产品质量法
chan-pin-zhi-liang-ze-ren 产品质量责任
chan-quan 产权
chan-quan-bian-geng 产权变更
chan-quan-deng-ji 产权登记
chang-nei-jiao-yi 场内交易
chang-wai-jiao-yi 场外交易
chang-xi-fan 常习犯
chang-ye-fan 常业犯
chang-yi 常怡
chao-chu-fa-lv-fan-wei-de 超出法律范围的
chao-xi-piao-qie 抄袭剽窃
chao-yue-dai-li-quan 超越代理权
chao-yue-gong-fan 超越共犯
chao-yue-shi-yong-fan-wei 超越使用范围
chao-yue-zhi-quan 超越职权
chao-zai 超载
che-chuan-shi-yong-shui 车船使用税
che-hui-qi-su 撤回起诉
che-hui-su-song 撤回诉讼
che-hui-zi-su 撤回自诉
che-liang-mai-mai-he-tong 车辆买卖合同
che-liang-sun-shi-xian 车辆损失险
che-su 撤诉
che-xiao 撤销
che-xiao 撤消
che-xiao-bu-qi-su-jue-ding-shu 撤销不起诉决定书
che-xiao-mian-yu-qi-su-jue-ding-shu 撤销免予起诉决定书
che-xiao-pan-jue 撤销判决
che-xiao-pan-jue 撤消判决
che-xiao-quan-fa-lv-guan-xi 撤销权法律关系
chen-guang-zhong 陈光中
chen-gui-ming 陈桂明
chen-hong-yi 陈弘毅
chen-hua-bin 陈华彬
chen-jun-ping 陈俊平
chen-rui-hua 陈瑞华
chen-shu-quan 陈述权
chen-wei-heng 陈炜恒
chen-xin-min 陈新民
chen-xing-liang 陈兴良
chen-yin-que 陈寅恪
chen-zhong-lin 陈忠林
cheng-bao-cheng-zu 承包承租
cheng-bao-he-tong 承包合同
cheng-bao-jin 承包金
cheng-bao-jing-ying 承包经营
cheng-bao-tu-di-quan 承包土地权
cheng-bao-zhi 承包制
cheng-bao-zhu-ti-zi-ge 承包主体资格
cheng-dan 承担
cheng-dan-yuan-tou-zi-gong-si-de-fa-lv-yi-wu 承担原投资公司的法律义务
cheng-dui 承兑
cheng-fa-xing-pei-chang 惩罚性赔偿
cheng-fu 承付
cheng-jiao-que-ren-shu 成交确认书
cheng-jie 承接
cheng-jie-ze-ren-gong-si 承接责任公司
cheng-lan-he-tong 承揽合同
cheng-nian-ren 成年人
cheng-nuo 承诺
cheng-shi-fang-di-chan-guan-li-fa 城市房地产管理法
cheng-shi-xin-yong 诚实信用
cheng-shi-xin-yong-yuan-ze 诚实信用原则
cheng-wen-fa 成文法
cheng-xiao-shang 承销商
cheng-xu 程序
cheng-xu-fa 程序法
cheng-xu-he-fa 程序合法
cheng-xu-shen-pan 程序审判
cheng-xu-zheng-yi 程序正义
cheng-yun-ren 承运人
cheng-yun-ren-he-shi-ji-cheng-yun-ren 承运人和实际承运人
cheng-yun-ren-mian-ze 承运人免责
cheng-yun-ren-pei-chang-ze-ren-xian-zhi 承运人赔偿责任限制
cheng-zu-quan 承租权
cheng-zu-ren 承租人
chi-gu-gong-si 持股公司
chi-ming-shang-biao 驰名商标
chi-xie-ju-zhong-pan-luan-zui 持械聚众叛乱罪
chi-xu-fan 持续犯
chi-yan-jiao-fu 迟延交付
chi-yan-lv-xing 迟延履行
chi-you-wu 持有物
chong-fen-gong-kai 充分公开
chong-fu-di-ya 重复抵押
chong-fu-qian-fa-ti-dan 重复签发提单
chong-he-xing-jiao-suo 重合性教唆
chong-hun 重婚
chong-hun-zui 重婚罪
chong-tu-gui-fan 冲突规范
chong-xin-jian-ding 重新鉴定
chou-tao-zi-jin 抽逃资金
chou-xiang-de-shi-shi-cuo-wu 抽象的事实错误
chou-xiang-de-wei-xian-fan 抽象的危险犯
chou-xiang-fu-he-shuo 抽象符合说
chou-xiang-xing-zheng-xing-wei 抽象行政行为
chu-ban-fa-xing-quan 出版发行权
chu-ban-he-tong 出版合同
chu-ban-quan 出版权
chu-ban-xu-ke-he-tong 出版许可合同
chu-chi-qi-jian 除斥期间
chu-duan-xing 处断刑
chu-fen 处分
chu-fen-quan 处分权
chu-fen-xing-wei 处分行为
chu-gao-she-ji 初稿设计
chu-guo-lao-wu-he-tong 出国劳务合同
chu-jie-zhang-hu 出借帐户
chu-kou-jia-gong-qu 出口加工区
chu-kou-shui 出口税
chu-kou-ti-dai 出口替代
chu-kou-tie-bu 出口贴补
chu-kou-tui-shui 出口退税
chu-kou-xin-dai 出口信贷
chu-mai-ren 出卖人
chu-mai-ren-yi-wu 出卖人义务
chu-ming-ying-ye-ren 出名营业人
chu-piao 出票
chu-rang-guo-you-tu-di-shi-yong-quan 出让国有土地使用权
chu-sheng 出生
chu-sheng-ri-qi 出生日期
chu-sheng-zheng-ming 出生证明
chu-shi-bao-zheng-jin 初始保证金
chu-wai-gui-ding 除外规定
chu-wai-ze-ren 除外责任
chu-xu 储蓄
chu-zi 出资
chu-zi-bi-li 出资比例
chu-zi-e-zhuan-rang 出资额转让
chu-zi-qi-xian 出资期限
chu-zu-ren 出租人
chu-zu-ren-de-yi-wu 出租人的义务
chuan-bo-bao-xian 船舶保险
chuan-bo-chu-peng 船舶触碰
chuan-bo-dai-li 船舶代理
chuan-bo-deng-ji 船舶登记
chuan-bo-di-ya-quan 船舶抵押权
chuan-bo-dong-tai 船舶动态
chuan-bo-dun-wei 船舶吨位
chuan-bo-gong-you 船舶共有
chuan-bo-guo-ji 船舶国籍
chuan-bo-jing-ying-guan-li 船舶经营管理
chuan-bo-pai-mai 船舶拍卖
chuan-bo-peng-zhuang 船舶碰撞
chuan-bo-shi-hang 船舶适航
chuan-bo-suo-you-quan 船舶所有权
chuan-bo-wei-xiu-fei 船舶维修费
chuan-bo-wu-liao-bei-pin 船舶物料备品
chuan-bo-xiu-li 船舶修理
chuan-bo-ying-yun-fei-yong 船舶营运费用
chuan-bo-you-xian-quan 船舶优先权
chuan-bo-you-xian-quan-cui-gao 船舶优先权催告
chuan-bo-zhan-you-quan 船舶占有权
chuan-bo-zhuan-rang 船舶转让
chuan-bo-zu-gou-he-tong 船舶租购合同
chuan-da-bu-shi 传达不实
chuan-dong 船东
chuan-dong-hu-bao-xie-hui 船东互保协会
chuan-huan 传唤
chuan-ji 船级
chuan-piao 传票
chuan-qi-guo 船旗国
chuan-qi-sun-shi 船期损失
chuan-qi-yan-wu 船期延误
chuan-shou-fan-zui-fang-fa-zui 传授犯罪方法罪
chuan-xiao 传销
chuan-xun 传讯
chuan-yuan 船员
chuan-yuan-lao-wu-he-tong 船员劳务合同
chuan-zai-huo-wu 船载货物
chuan-zhang 船长
chuang-yi-she-ji 创意设计
chuang-zao-xing 创造性
chuang-zuo 创作
chun-zheng-du-zhi-zui 纯正渎职罪
ci-yao-ze-ren 次要责任
ci-zhi 辞职
cong-fan 从犯
cong-he-tong 从合同
cong-quan-li 从权利
cong-shu-guan-xi 从属关系
cong-shu-quan-li-yao-qiu 从属权利要求
cong-shu-zhuan-li 从属专利
cong-wu 从物
cong-wu-quan 从物权
cong-xing-wei 从行为
cong-zhai-wu-ren 从债务人
cu-jin-she-hui-he-xie 促进社会和谐
cui-gao 催告
cui-gao-qi-xian 催告期限
cui-gao-quan 催告权
cui-zhi-yuan 崔之元
cun-dan 存单
cun-dan-fa-lv-xing-zhi 存单法律性质
cun-dan-gua-shi 存单挂失
cun-dan-yao-jian-xia-ci 存单要件瑕疵
cun-dan-zhi-ya 存单质押
cun-gen 存根
cun-kuan-shi-ming-zhi 存款实名制
cun-min-wei-yuan-hui 村民委员会
cun-zhe-de-bian-zao 存折的变造
cuo-gao 错告
cuo-jue-cuo-wu 错觉错误
cuo-jue-fang-wei 错觉防卫
cuo-wu-ren-ding 错误认定
cuo-yun-huo-wu 错运货物
da-bian 答辩
da-fu-shou-ju 大副收据
da-ji-cuo-wu 打击错误
da-lu-fa-xi 大陆法系
da-nao-ji-neng-ting-zhi-huo-dong-shuo 大脑机能停止活动说
da-shou 搭售
dai-ban-quan 代办权
dai-ban-shang 代办商
dai-bao-guan-dan 代保管单
dai-bu 逮捕
dai-bu-chong-de-fan-zui-gou-cheng 待补充的犯罪构成
dai-bu-zheng 逮捕证
dai-kuan 贷款
dai-kuan-qi-zha 贷款欺诈
dai-kuan-ren 贷款人
dai-kuan-tong-ze 贷款通则
dai-kuan-zhan-qi 贷款展期
dai-li 代理
dai-li-he-tong 代理合同
dai-li-quan 代理权
dai-li-quan-de-lan-yong 代理权的滥用
dai-li-quan-de-shou-yu 代理权的授予
dai-li-quan-de-xian-zhi 代理权的限制
dai-li-quan-de-zhui-ren 代理权的追认
dai-li-ren 代理人
dai-li-zheng-shu 代理证书
dai-shu-yi-zhu 代书遗嘱
dai-ti-wu 代替物
dai-wei-ji-cheng 代位继承
dai-wei-ji-fu 代为给付
dai-wei-lv-xing 代为履行
dai-wei-qing-chang 代为清偿
dai-wei-qing-chang 代位清偿
dai-wei-qing-chang-zhi-du 代为清偿制度
dai-wei-qiu-chang 代位求偿
dai-wei-qiu-chang-quan 代位求偿权
dai-wei-zhui-chang 代位追偿
dai-wu-qing-chang 代物清偿
dai-xiao 代销
dan-bao 担保
dan-bao-bao-zheng-shu 担保保证书
dan-bao-fa 担保法
dan-bao-he-tong 担保合同
dan-bao-qi 担保期
dan-bao-wu-quan 担保物权
dan-ceng-ci-de-xuan-ze-gou-cheng 单层次的选择构成
dan-chun-de-fan-zui-gou-cheng 单纯的犯罪构成
dan-dan-xiang-fu-dan-zheng-xiang-fu 单单相符单证相符
dan-dang-fu-kuan-ren 担当付款人
dan-du-hai-sun 单独海损
dan-du-jiao-suo-fan 单独教唆犯
dan-fang-fa-lv-xing-wei 单方法律行为
dan-fang-jie-chu-he-tong 单方解除合同
dan-fang-zhong-zhi-he-tong 单方终止合同
dan-wei-fan-zui 单位犯罪
dan-wei-fan-zui-zhu-ti 单位犯罪主体
dan-wu-he-tong 单务合同
dan-xing-tiao-li 单行条例
dan-yi-de-fan-zui-gou-cheng 单一的犯罪构成
dan-yi-ke-ti 单一客体
dan-zheng-bu-fu 单证不符
dang-shi-ren 当事人
dang-shi-ren-shi-ge 当事人适格
dang-shi-ren-zhu-yi 当事人主义
dao-an-jia-ge 到岸价格
dao-ban 盗版
dao-da-dian-hua 盗打电话
dao-de 道德
dao-fa-lin-mu-zui 盗伐林木罪
dao-mai-ji-hua-gong-ying-piao-zheng-zui 倒卖计划供应票证罪
dao-qi-ri 到期日
dao-qian-ti-dan 倒签提单
dao-qie-gong-wen-zheng-jian-yin-zhang-zui 盗窃公文证件印章罪
dao-qie-qiang-zhi-dan-yao-zui 盗窃枪支弹药罪
dao-qie-zui 盗窃罪
dao-yan-zai-chuang-zuo-de-xu-ke-fan-wei 导演再创作的许可范围
dao-yun-zhen-gui-wen-wu-chu-kou-zui 盗运珍贵文物出口罪
de-che-xiao-hun-yin 得撤销婚姻
de-wo-jin 德沃金
de-zhu-xing-fu 德主刑辅
deng-ji 登记
deng-tong-ti-dai 等同替代
deng-tong-wu-ti-huan 等同物替换
deng-tong-yuan-ze 等同原则
deng-xiao-mang 邓晓芒
deng-zheng-lai 邓正来
di-chang 抵偿
di-er-shen 第二审
di-er-shen-cheng-xu 第二审程序
di-fang-xing-fa-gui 地方性法规
di-hui 诋毁
di-ji 狄骥
di-jian-pai-mai 递减拍卖
di-jie-tiao-yue-cheng-xu-fa 缔结条约程序法
di-qu-guan-xia 地区管辖
di-san-ren 第三人
di-san-ren-guo-cuo-xing-wei 第三人过错行为
di-san-ren-qing-chang 第三人清偿
di-san-zhe-ze-ren-xian 第三者责任险
di-shang-quan 地上权
di-xiao 抵销
di-xiao-quan 抵消权
di-ya 抵押
di-ya-jie-kuan-he-tong 抵押借款合同
di-ya-quan 抵押权
di-ya-quan-de-she-ding 抵押权的设定
di-ya-quan-deng-ji 抵押权登记
di-ya-quan-deng-ji-zhi-du 抵押权登记制度
di-ya-wu-de-zhuan-rang 抵押物的转让
di-yi-fu-kuan-ze-ren 第一付款责任
di-yi-quan 地役权
di-yi-shen 第一审
di-yi-shen-cheng-xu 第一审程序
di-yu-guan-xia 地域管辖
di-yue-guo-shi 缔约过失
dian-dang 典当
dian-fu 垫付
dian-hua-ji-fei 电话计费
dian-quan 典权
dian-shi-zuo-pin 电视作品
dian-ying-wen-xue-ju-ben 电影文学剧本
dian-zi-shi-gong 垫资施工
diao-su-zuo-pin 雕塑作品
diao-yu-shi-he-tong 钓鱼式合同
ding-cang-dan 订舱单
ding-gao-chuang-zuo 定稿创作
ding-jin 定金
ding-jin-fa-ze 定金罚则
ding-qi-xing 定期刑
ding-qi-zu-chuan-he-tong 定期租船合同
ding-ri-fu-kuan 定日付款
ding-xiang-mu-ji-she-li 定向募集设立
ding-zhe-wu 定着物
ding-zhi-bao-xian-qi-yue 定值保险契约
ding-zui-jie-guo 定罪结果
ding-zuo-he-tong 定作合同
dong-chan 动产
dong-chan-zhi-quan 动产质权
dong-jie 冻结
dong-shi-hui 董事会
dong-shi-hui-shou-quan 董事会授权
dong-shi-hui-zhao-kai-cheng-xu 董事会召开程序
dong-shi-jie-ren 董事解任
dong-wu-zhi-ren-shang-hai 动物致人伤害
du-bo-zui 赌博罪
du-chuang-xing 独创性
du-cu-cheng-xu 督促程序
du-gang-jian 杜钢建
du-gun 赌棍
du-li-chuang-zuo 独立创作
du-li-de-fan-zui-gou-cheng 独立的犯罪构成
du-li-fa-ren-zi-ge 独立法人资格
du-li-hu-xi-shuo 独立呼吸说
du-li-min-shi-zhu-ti 独立民事主体
du-li-quan-li-yao-qiu 独立权利要求
du-li-ran-shao-shuo 独立燃烧说
du-li-su-song 独立诉讼
du-li-xing-shi-min-shi-quan-li 独立行使民事权利
du-li-zhi-pian-ren 独立制片人
du-tou 赌头
du-zhan-quan 独占权
du-zhan-shi-shi-xu-ke 独占实施许可
du-zhan-xu-ke 独占许可
du-zhan-xu-ke-shi-yong 独占许可使用
du-zhan-xu-ke-zheng 独占许可证
du-zhi-an 渎职案
du-zhi-zui 渎职罪
du-zi-gong-si 独资公司
duan-dai-shuo 断带说
duan-huo 短货
duan-kuan 短款
dui-bi-wen-jian 对比文件
dui-chong 对冲
dui-di-san-ren-de-ze-ren 对第三人的责任
dui-gong-min-zai-shi-yong-fa-lv-shang-yi-lv-ping-deng 对公民在适用法律上一律平等
dui-jia 对价
dui-ou-hun 对偶婚
dui-ren-quan 对人权
dui-shi-quan 对世权
dui-wai-jing-ji-mao-yi-bu 对外经济贸易部
dui-wai-mao-yi-fa 对外贸易法
dui-wai-mao-yi-he-tong 对外贸易合同
dui-wu-fang-wei 对物防卫
dui-xian 兑现
dui-xiang-bu-neng-fan 对象不能犯
dui-xiang-cuo-wu 对象错误
duo-bian-mao-yi 多边贸易
duo-ceng-ci-de-xuan-ze-gou-cheng 多层次的选择构成
duo-shi-lian-yun 多式联运
duo-shu-bian-hu 多数辩护
e-yi-chuan-tong 恶意串通
e-yi-di-san-ren 恶意第三人
e-yi-tou-zhi 恶意透支
e-yi-zhan-you 恶意占有
er-chong-mai-mai 二重买卖
er-shen 二审
er-shen-fa-yuan 二审法院
fa-an 法案
fa-bao-yu-cheng-bao 发包与承包
fa-biao 发表
fa-biao 发标
fa-biao-quan 发表权
fa-de-li-shi 法的历史
fa-de-shi-shi 法的实施
fa-de-shi-xian 法的实现
fa-de-shi-yong 法的适用
fa-de-yun-xing 法的运行
fa-dian-bian-zuan 法典编纂
fa-ding-an-li-tiao-jian-qian-ti-xia 法定案例条件前提下
fa-ding-cai-chan-zhi 法定财产制
fa-ding-dai-biao-ren 法定代表人
fa-ding-dai-li-quan 法定代理权
fa-ding-dai-li-ren 法定代理人
fa-ding-de-shi-shi-cuo-wu 法定的事实错误
fa-ding-di-ya-quan 法定抵押权
fa-ding-fan 法定犯
fa-ding-fen-lei 法定分类
fa-ding-fu-he-shuo 法定符合说
fa-ding-hun-ling 法定婚龄
fa-ding-ji-cheng 法定继承
fa-ding-ji-cheng-ren 法定继承人
fa-ding-jian-hu-ren 法定监护人
fa-ding-jian-hu-ren-zhi-ze 法定监护人职责
fa-ding-jie-chu 法定解除
fa-ding-pei-chang 法定赔偿
fa-ding-qi-jian 法定期间
fa-ding-qi-xian 法定期限
fa-ding-qiang-zhi-bao-xian 法定强制保险
fa-ding-qing-jie 法定情节
fa-ding-qing-suan-ren 法定清算人
fa-ding-xing 法定刑
fa-ding-xing-shang-xian 法定刑上限
fa-ding-xing-xia-xian 法定刑下限
fa-ding-xu-ke 法定许可
fa-ding-zi-xi 法定孳息
fa-guan 法官
fa-guan-du-li 法官独立
fa-guan-fa 法官法
fa-guan-zhi-ye-dao-de 法官职业道德
fa-guan-zhi-ye-dao-de-ji-ben-zhun-ze 法官职业道德基本准则
fa-guan-zhi-ye-hua 法官职业化
fa-gui-hui-bian 法规汇编
fa-huo-dai-li-ren 发货代理人
fa-jin 罚金
fa-jing-dui 法警队
fa-jing-ji-xue 法经济学
fa-li 法理
fa-li-xue 法理学
fa-lv 法律
