;; -*- coding: utf-8 -*--
a-li-tong 阿里通
bian-jie-xiang-su 边界像素
bian-kuang 边框
bian-li 遍历
bian-liang-hua-she-ji 变量化设计
bian-liu-qi 变流器
bian-ma 编码
bian-ma-biao-shi 编码表示
bian-ma-bu 编码簿
bian-ma-fa 编码法
bian-ma-fang-fa 编码方法
bian-ma-qi 编码器
bian-ma-xiao-lv 编码效率
bian-ma-xing-shi 编码形式
bian-ma-zi-fu 编码字符
bian-ma-zi-fu-ji 编码字符集
bian-pin-qi 变频器
bian-ping-dian-lan 扁平电缆
bian-ping-feng-zhuang 扁平封装
bian-qian 变迁
bian-qian-gui-ze 变迁规则
bian-qian-shi-shi-su-lv 变迁实施速率
bian-qian-xi-tong 变迁系统
bian-qian-xu-lie 变迁序列
bian-qian-zi-wang 变迁子网
bian-xie-bian-du 边写边读
bian-xie-shi-ji-suan-ji 便携式计算机
bian-xing 变形
bian-yan-chu-fa 边沿触发
bian-yi 变异
bian-yi 编译
bian-yi-can-shu 编译参数
bian-yi-cheng-xu 编译程序
bian-yi-cheng-xu-de-bian-yi-cheng-xu 编译程序的编译程序
bian-yi-cheng-xu-de-sheng-cheng-cheng-xu 编译程序的生成程序
bian-yi-cheng-xu-gui-yue-yu-yan 编译程序规约语言
bian-yi-qi 编译器
bian-yi-xi-tong 编译系统
bian-yi-xuan-xiang 编译选项
bian-yuan 边缘
bian-yuan-cao-zuo 边缘操作
bian-yuan-ce-shi 边缘测试
bian-yuan-chu-fa-shi-zhong 边缘触发时钟
bian-yuan-cuo-jue 边缘错觉
bian-yuan-fan-hua 边缘泛化
bian-yuan-fen-ge 边缘分割
bian-yuan-gu-zhang 边缘故障
bian-yuan-jian-ce 边缘检测
bian-yuan-jian-yan 边缘检验
bian-yuan-ju-jiao 边缘聚焦
bian-yuan-lian-jie 边缘连接
bian-yuan-lian-jie-qi 边缘连接器
bian-yuan-ni-he 边缘拟合
bian-yuan-pi-pei 边缘匹配
bian-yuan-suan-zi 边缘算子
bian-yuan-ti-qu 边缘提取
bian-yuan-tiao-zheng 边缘调整
bian-yuan-tu-xiang 边缘图像
bian-yuan-xiang-su 边缘像素
bian-yuan-zeng-qiang 边缘增强
bian-zhi 变址
bian-zhi 编址
bian-zhi-ji-cun-qi 变址寄存器
biao-ceng-ge 表层格
biao-chu-li 表处理
biao-chu-li-yu-yan 表处理语言
biao-diao-du 表调度
biao-hao 标号
biao-hao-hua-an-quan 标号化安全
biao-hao-ke-da-shu 标号可达树
biao-hao-pei-te-li-wang 标号佩特里网
biao-ji-bian-liang 标记变量
biao-ji-lei-xing 标记类型
biao-ji-liu-lu 标记流路
biao-ji-yue-du-ji 标记阅读机
biao-jue-qi 表决器
biao-jue-xi-tong 表决系统
biao-liang 标量
biao-liang-chu-li-qi 标量处理器
biao-liang-ji-suan-ji 标量计算机
biao-liang-liu-shui-xian 标量流水线
biao-liang-shu-ju-liu-fen-xi 标量数据流分析
biao-mian-an-zhuang-han-jie 表面安装焊接
biao-mian-an-zhuang-ji-shu 表面安装技术
biao-mian-an-zhuang-qi-jian 表面安装器件
biao-qian-ji 标签集
biao-shi-ceng 表示层
biao-tou 表头
biao-yue-shu 表约束
biao-zhi 标识
biao-zhi-bian-liang 标识变量
biao-zhi-fu 标志符
biao-zhi-fu 标识符
biao-zhi-jian-bie 标识鉴别
biao-zhi-quan-biao 标识权标
biao-zhi-que-ren 标识确认
biao-zhi-xu-lie 标志序列
biao-zhi-zheng-ming 标识证明
biao-zhun-cheng-xu-fa 标准程序法
biao-zhun-cheng-xu-ku 标准程序库
biao-zhun-chu-li-fang-shi 标准处理方式
biao-zhun-dan-yuan 标准单元
biao-zhun-dui-xiang 标准对象
biao-zhun-fu-du-dai 标准幅度带
biao-zhun-niu-xie-dai 标准扭斜带
biao-zhun-shi-shi-qi 标准实施器
biao-zhun-shu-chu-wen-jian 标准输出文件
biao-zhun-shu-ru-wen-jian 标准输入文件
biao-zhun-su-du-dai 标准速度带
biao-zhun-tong-yong-zhi-biao-yu-yan 标准通用置标语言
biao-zhun-wen-jian 标准文件
biao-zhun-xing-shi-xia-tui-zi-dong-ji 标准形式下推自动机
biao-zhun-yu-yan 标准语言
biao-zhun-zhong-duan 标准中断
bie-ming 别名
bie-ming-fen-xi 别名分析
bin-xi-fa-ni-ya-da-xue 宾夕法尼亚大学
bing-chuan-hang-zhuan-huan-qi 并串行转换器
bing-ding-li 并定理
bing-du 病毒
bing-du-fang-zhi 病毒防治
bing-du-qian-ming 病毒签名
bing-fa 并发
bing-fa-bian-qian 并发变迁
bing-fa-cao-zuo-xi-tong 并发操作系统
bing-fa-cheng-xu-she-ji 并发程序设计
bing-fa-chu-li 并发处理
bing-fa-du-bing-fa-xie 并发读并发写
bing-fa-fang-zhen 并发仿真
bing-fa-gong-li 并发公理
bing-fa-gu-zhang-jian-ce 并发故障检测
bing-fa-guan-xi 并发关系
bing-fa-jin-cheng 并发进程
bing-fa-kong-zhi 并发控制
bing-fa-kong-zhi-ji-zhi 并发控制机制
bing-fa-kong-zhi-xi-tong 并发控制系统
bing-fa-mo-ni 并发模拟
bing-fa-xin-xi-xi-tong 并发信息系统
bing-lian-duan-jie 并联端接
bing-lian-pi-pei 并联匹配
bing-xing 并行
bing-xing-bian-cheng-yu-yan 并行编程语言
bing-xing-cao-zuo 并行操作
bing-xing-cao-zuo-huan-jing 并行操作环境
bing-xing-cha-zhao-cun-chu-qi 并行查找存储器
bing-xing-cheng-xu-she-ji 并行程序设计
bing-xing-chu-li 并行处理
bing-xing-chu-li-ji-cao-zuo-xi-tong 并行处理机操作系统
bing-xing-chu-li-ji-shu 并行处理技术
bing-xing-chuan-shu 并行传输
bing-xing-cun-chu-qi 并行存储器
bing-xing-du 并行度
bing-xing-duan-kou 并行端口
bing-xing-duo-yuan-lian-jie 并行多元联结
bing-xing-duo-yuan-lian-jie 并行多元连接
bing-xing-er-yuan-lian-jie 并行二元联结
bing-xing-er-yuan-lian-jie 并行二元连接
bing-xing-fang-zhen 并行仿真
bing-xing-gan-ran 并行感染
bing-xing-gong-cheng 并行工程
bing-xing-hua 并行化
bing-xing-ji-suan 并行计算
bing-xing-ji-suan-ji 并行计算机
bing-xing-ji-suan-lun-ti 并行计算论题
bing-xing-jia-fa-qi 并行加法器
bing-xing-jian-mo 并行建模
bing-xing-lian-jie 并行联结
bing-xing-lian-jie 并行连接
bing-xing-mo-ni 并行模拟
bing-xing-pai-xu-suan-fa 并行排序算法
bing-xing-ren-wu 并行任务
bing-xing-ren-wu-pai-sheng 并行任务派生
bing-xing-shi-shi-chu-li 并行实时处理
bing-xing-shu-ju-ku 并行数据库
bing-xing-sou-suo 并行搜索
bing-xing-suan-fa 并行算法
bing-xing-tu 饼形图
bing-xing-tu-lun-suan-fa 并行图论算法
bing-xing-tu-xing-suan-fa 并行图形算法
bing-xing-tui-li-ji 并行推理机
bing-xing-wai-pai-xu 并行外排序
bing-xing-xing 并行性
bing-xing-xu-ni-ji 并行虚拟机
bing-xing-xuan-ze-suan-fa 并行选择算法
bing-xing-zhi-ling-dui-lie 并行指令队列
bo-dao 波导
bo-de-tu 伯德图
bo-er-zi-man-ji 玻尔兹曼机
bo-fang-lie-biao 播放列表
bo-feng-han 波峰焊
bo-hao-zhong-duan 拨号终端
bo-li-huan-yang-ban 玻璃环氧板
bo-nu-li-pan 伯努利盘
bo-si-te-xi-tong 波斯特系统
bo-te 波特
bo-xing 波形
bo-xing-liu-shui-xian 波形流水线
bo-yi 博弈
bo-yi-lun 博弈论
bo-yi-shu 博弈树
bo-yi-shu-sou-suo 博弈树搜索
bo-yi-tu 博弈图
bu-bian-dai-ma-yi-chu 不变代码移出
bu-bian-liang 不变量
bu-bian-shi 不变式
bu-chang 补偿
bu-chang-shi-wu 补偿事务
bu-chang-wang-luo 补偿网络
bu-deng-chang-bian-ma 不等长编码
bu-er-biao-da-shi 布尔表达式
bu-er-cha-zhao 布尔查找
bu-er-dai-shu 布尔代数
bu-er-guo-cheng 布尔过程
bu-er-sou-suo 布尔搜索
bu-er-yun-suan 布尔运算
bu-fen-chen-jin-shi-xu-ni-xian-shi 部分沉浸式虚拟现实
bu-fen-han-shu-yi-lai 部分函数依赖
bu-fen-jia-dian 部分加电
bu-fen-zheng-que-xing 部分正确性
bu-gui-ling-zhi 不归零制
bu-he-luo-ji 不合逻辑
bu-jian-bian-ma 部件编码
bu-jian-chai-fen 部件拆分
bu-jian-duan-dian-yuan 不间断电源
bu-jian-ma 部件码
bu-jian-shi-yong-pin-du 部件使用频度
bu-jian-zu-zi-pin-du 部件组字频度
bu-jiao-fu-xiang 不交付项
bu-jin 步进
bu-jin-dian-ji 步进电机
bu-jin-kong-zhi 步进控制
bu-jing-que-tui-li 不精确推理
bu-jing-que-zhong-duan 不精确中断
bu-ju 布局
bu-ju-ce-lue 布局策略
bu-ju-gui-ze 布局规则
bu-ju-jie-di-gui-ze 布局接地规则
bu-ke-chong-fu-du 不可重复读
bu-ke-da-mu-di-di 不可达目的地
bu-ke-da-xing 步可达性
bu-ke-di-lai 不可抵赖
bu-ke-fen-ye-dong-tai-qu 不可分页动态区
bu-ke-kao-jin-cheng 不可靠进程
bu-ke-ni-jia-mi 不可逆加密
bu-ke-pan-ding-wen-ti 不可判定问题
bu-ma 补码
bu-ma-qi 补码器
bu-que-ding-tui-li 不确定推理
bu-que-ding-xing-tui-li 不确定性推理
bu-que-ding-zheng-ju 不确定证据
bu-que-ding-zhi-shi 不确定知识
bu-se 补色
bu-si-cheng-fa-qi 布思乘法器
bu-si-suan-fa 布思算法
bu-tou-ming-du 不透明度
bu-wan-quan-pai-cuo 不完全排错
bu-wan-quan-shu-ju 不完全数据
bu-wan-quan-xin-xi 不完全信息
bu-wan-quan-xing 不完全性
bu-wan-quan-xing-li-lun 不完全性理论
bu-xian 布线
bu-xian-cheng-xu 布线程序
bu-xian-gui-ze 布线规则
bu-xu-lie 步序列
bu-yi-zhi-xing 不一致性
bu-zhong-xing 不重性
ca-bian-cheng-zhi-du-cun-chu-qi 擦编程只读存储器
ca-chu 擦除
cai-jian-qu-mian 裁剪曲面
cai-se-da-yin-ji 彩色打印机
cai-se-tu-xiang 彩色图像
cai-se-tu-xing-shi-pei-qi 彩色图形适配器
cai-se-tu-xing-zhen-lie 彩色图形阵列
cai-se-xian-shi 彩色显示
cai-se-xian-shi-qi 彩色显示器
cai-wu-yi-ti-hua-ruan-jian 财务一体化软件
cai-wu-zhu-guan 财务主管
cai-yang 采样
cai-yang-cha-jian 采样插件
cai-yang-fang-shi 采样方式
cai-yang-fen-bu 采样分布
cai-yang-kong-zhi 采样控制
cai-yang-pin-lv 采样频率
cai-yang-qi 采样器
cai-yang-su-lv 采样速率
cai-yang-wu-cha 采样误差
cai-yang-xi-tong 采样系统
cai-yang-zao-sheng 采样噪声
cai-yang-zhou-qi 采样周期
can-cuo-lv 残错率
can-kao-dian-yuan 参考电源
can-kao-jian-kong 参考监控
can-kao-ma 参考码
can-kao-zhen 参考帧
can-liu-shu-ju 残留数据
can-shu-ce-shi 参数测试
can-shu-chuan-di 参数传递
can-shu-gu-ji 参数估计
can-shu-gu-zhang 参数故障
can-shu-hua-she-ji 参数化设计
can-shu-ji-he 参数几何
can-shu-kong-jian 参数空间
can-shu-qu-mian-ni-he 参数曲面拟合
can-yu-zhe 参与者
can-zhao-wan-zheng-xing 参照完整性
cao-gao-zhi-liang 草稿质量
cao-hao 槽号
cao-pai-xu 槽排序
cao-qun 槽群
cao-zong-gan 操纵杆
cao-zuo-bao 操作包
cao-zuo-biao 操作表
cao-zuo-ce-shi 操作测试
cao-zuo-guo-cheng 操作过程
cao-zuo-kai-guan 操作开关
cao-zuo-kong-zhi 操作控制
cao-zuo-kong-zhi-qi 操作控制器
cao-zuo-ma 操作码
cao-zuo-ming-ling 操作命令
cao-zuo-shu 操作数
cao-zuo-xi-tong 操作系统
cao-zuo-xi-tong-bing-du 操作系统病毒
cao-zuo-xi-tong-chu-li-qi 操作系统处理器
cao-zuo-xi-tong-gong-neng 操作系统功能
cao-zuo-xi-tong-gou-jian 操作系统构件
cao-zuo-xi-tong-guan-li-cheng-xu 操作系统管理程序
cao-zuo-xi-tong-jian-kong-cheng-xu 操作系统监控程序
cao-zuo-yu-yi 操作语义
cao-zuo-yuan-li 操作原理
cao-zuo-yuan-ming-ling 操作员命令
cao-zuo-yuan-shou-ce 操作员手册
ce-ding-fang-fa 测定方法
ce-liang-fan-wei 测量范围
ce-lue-guan-li-ji-gou 策略管理机构
ce-shi-ban 测试板
ce-shi-bao-gao 测试报告
ce-shi-cheng-xu 测试程序
ce-shi-cun-qu-duan-kou 测试存取端口
ce-shi-dian 测试点
ce-shi-fu-gai 测试覆盖
ce-shi-gui-yue 测试规约
ce-shi-guo-cheng 测试过程
ce-shi-huan-lu 测试环路
ce-shi-hui-lu 测试回路
ce-shi-ji-hua 测试计划
ce-shi-jie-duan 测试阶段
ce-shi-ke-chong-fu-xing 测试可重复性
ce-shi-li-cheng 测试例程
ce-shi-ma-sheng-cheng-cheng-xu 测试码生成程序
ce-shi-qu-dong-cheng-xu 测试驱动程序
ce-shi-qu-dong-qi 测试驱动器
ce-shi-ren-wu 测试任务
ce-shi-ri-zhi 测试日志
ce-shi-she-bei 测试设备
ce-shi-sheng-cheng 测试生成
ce-shi-shi-jian 测试时间
ce-shi-shu-ju 测试数据
ce-shi-shu-ju-sheng-cheng-cheng-xu 测试数据生成程序
ce-shi-shun-xu 测试顺序
ce-shi-tai 测试台
ce-shi-tan-zhen 测试探针
ce-shi-tao-ju 测试套具
ce-shi-wen-ben 测试文本
ce-shi-xiang-ying 测试响应
ce-shi-yi 测试仪
ce-shi-yong-li 测试用例
ce-shi-yong-li-sheng-cheng-cheng-xu 测试用例生成程序
ce-shi-you-xiao-xing 测试有效性
ce-shi-yu-shi 测试谕示
ce-shi-yu-yan 测试语言
ce-shi-yun-xing 测试运行
ce-shi-zheng-hou 测试症候
ce-shi-zhi-shi-fu 测试指示符
ce-shi-zhi-shi-qi 测试指示器
ce-shi-zong-he 测试综合
ce-yi-zhi 侧抑制
ceng-ci-cun-chu-xi-tong 层次存储系统
ceng-ci-fen-jie 层次分解
ceng-ci-fen-xi-chu-li 层次分析处理
ceng-ci-jie-gou 层次结构
ceng-ci-jie-gou-tu 层次结构图
ceng-ci-mo-xing 层次模型
ceng-ci-shi-wen-jian-xi-tong 层次式文件系统
ceng-ci-shu-ju-ku 层次数据库
ceng-ci-shu-ju-mo-xing 层次数据模型
ceng-ci-wang 层次网
ceng-ci-xu-lie-jian-ma 层次序列键码
ceng-die-yang-shi-biao 层叠样式表
ceng-xi-cheng-xiang 层析成像
ceng-xi-shu 层析术
ceng-ya-ban 层压板
cha-bu-cheng-xu 插补程序
cha-bu-qi 插补器
cha-cao 插槽
cha-cuo 差错
cha-cuo-biao 差错表
cha-cuo-fan-wei 差错范围
cha-cuo-hui-fu 差错恢复
cha-cuo-jian-ce 差错检测
cha-cuo-jian-ce-ma 差错检测码
cha-cuo-jiao-yan 差错校验
cha-cuo-jiao-yan-xi-tong 差错校验系统
cha-cuo-kong-zhi 差错控制
cha-cuo-kong-zhi-bian-ma 差错控制编码
cha-cuo-qian-fu-qi 差错潜伏期
cha-cuo-zhi-shi-dian-lu 差错指示电路
cha-dong-xin-hao-qu-dong-qi 差动信号驱动器
cha-fen-dian-ya-xin-hao 差分电压信号
cha-fen-fang-shi 差分方式
cha-fen-mai-ma-tiao-zhi 差分脉码调制
cha-fen-mi-ma-fen-xi 差分密码分析
cha-fen-shuang-jiao-xian 差分双绞线
cha-ji 叉积
cha-jian 插件
cha-jian-dao-gui 插件导轨
cha-jian-jia 插件架
cha-jie-jian-rong-ji-suan-ji 插接兼容计算机
cha-kong 插孔
cha-kong-ban 插孔板
cha-qi-fu-hao 查讫符号
cha-ru-pai-xu 插入排序
cha-ru-yi-chang 插入异常
cha-se-biao 查色表
cha-shu 叉树
cha-xun-you-hua 查询优化
cha-xun-yu-yan 查询语言
cha-ya-kong-zhi-qi 差压控制器
cha-yan 查验
cha-zhao 查找
cha-zhao-shi-jian 查找时间
cha-zhen 插针
cha-zhen-ya-li 插针压力
cha-zhi 插值
cha-zhi-fa 插值法
cha-zuo 插座
chai-fen 拆分
chai-xian 拆线
chan-pin-an-quan 产品安全
chan-pin-ce-shi 产品测试
chan-pin-gui-ge-shuo-ming 产品规格说明
chan-pin-gui-yue 产品规约
chan-pin-ku 产品库
chan-pin-ren-zheng 产品认证
chan-pin-shu-ju-guan-li 产品数据管理
chan-sheng-shi-gui-ze 产生式规则
chan-sheng-shi-xi-tong 产生式系统
chan-sheng-shi-yu-yan-zhi-shi 产生式语言知识
chang-di-gu-zhang 场地故障
chang-di-zi-zhi 场地自治
chang-die 唱碟
chang-du-yu 长度域
chang-gui-mi-ma-ti-zhi 常规密码体制
chang-gui-xin-xi-xi-tong 常规信息系统
chang-jian-wen-ti 常见问题
chang-ju-li-yi-cun-guan-xi 长距离依存关系
chang-liang 常量
chang-liang-shuo-ming 常量说明
chang-pin 场频
chang-qi-xiang-guan-xing 长期相关性
chang-shi-tui-li 常识推理
chang-shi-wu-guan-li 长事务管理
chang-shu-chuan-bo 常数传播
chang-shu-he-bing 常数合并
chang-wei-fen-fang-cheng 常微分方程
chang-yong-ci 常用词
chang-zhu-cao-zuo-xi-tong 常驻操作系统
chang-zhu-ci-pan-cao-zuo-xi-tong 常驻磁盘操作系统
chang-zhu-kong-zhi-cheng-xu 常驻控制程序
chao-biao-liang 超标量
chao-biao-liang-jie-gou 超标量结构
chao-chang-wen-ben 超长文本
chao-chang-zheng-wen 超长正文
chao-chang-zhi-ling-zi 超长指令字
chao-chi-kong-zhi 超驰控制
chao-dao-cun-chu-qi 超导存储器
chao-di-wei-su-lv-bian-ma 超低位速率编码
chao-gao-su-ji-cheng-dian-lu 超高速集成电路
chao-gui-jie 超归结
chao-ji-bian-yi-cheng-xu 超级编译程序
chao-ji-bian-yi-qi 超级编译器
